key,en,sw
fr_out_of_domain,We do not have fertilizer recommendation for your location because your location is out of the recommendation domain AKILIMO is currently serving.,Hatuna mapendekezo yoyote kwa eneo lako kwa sababu eneo lako liko nje la eneo ambalo AKILIMO linafanya kazi kwa sasa
fr_not_profitable,Fertilizer application does not increase your revenue therefore it is not recommended for your field.,Utumizi wa mbolea hauongezi mapato yako kwa hivyo haipendekezwi kwa shamba lako
sp_info,AKILIMO provides advice for schedule planting if only at least your planting or harvest time or both are flexible. Please provide this information and you will be advised when the best time is for your location.,AKILIMO hutoa ushauri wa upandaji wa ratiba ikiwa angalau wakati wako wa upandaji au wakati wa kuvuna au zote mbili zinabadilika. Tafadhali toa habari hii na utashauriwa wakati mzuri wa kupanda na kuvuna kwa eneo lako
sp_no_recommendation,We do not have a recommendation available for your location.,Hatuna mapendekezo yoyote kwa eneo lako.
fr_no_fert,We recommend to not apply any fertilizer. We do not expect that fertilizer application will result in a profitable yield increase in your situation.,Tunapendekeza kutotumia mbolea ya aina yoyote. Hatutegemei kuwa matumizi ya mbolea yatatoa ongezeko la mavuno yenye tija kutokana na taarifa za eneo lako
sp_no_yield_change,"We do not expect a change in total root production and no increase in revenue, but you can {action}","Hatutarajii mabadiliko ya jumla ya mavuno ya muhogo na hivyo hakuna ongezeko la kipato, lakini unaweza {action}"
sp_action_harvest,harvest earlier.,{SPACE}vuna mapema.
sp_action_plant,{SPACE}plant later.,panda kwa kuchelewa.
sp_value_increase_only,We do not expect a change in total root production but a value increase of {currency} {amount} due to a more attractive price at the recommended harvest date.,Hatutarajii mabadiliko ya jumla ya mavuno ya muhogo lakini ongezeko la thamani kwa {currency} {amount} kutokana na bei nzuri wakati wa kuvuna kwa tarehe inayopendekezwa.
sp_rec_plant_date,"We recommend you plant on {date}, {weeks} weeks {direction} than your proposed planting date.","Tunapendekeza upande tarehe {date}, wiki {weeks} {direction} kuliko tarehe uliyoipendekeza ya kupanda."
sp_rec_harvest_date,"We recommend you harvest on {date}, {weeks} weeks {direction} than your proposed harvest date.","Tunapendekeza uvune tarehe {date}, wiki {weeks} {direction} kuliko tarehe uliyoipendekeza ya kupanda."
dir_earlier,earlier,mapema
dir_later,later,baadaye
sp_proposed_planting_prefix,Your revenue will be highest at your proposed planting ( {pd_date} ){SPACE},mapato yako yatakuwa makubwa zaidi ukipanda tarehe ( {pd_date} ){SPACE}
sp_proposed_harvest_suffix,and harvest date ( {hd_date} ){SPACE},na kuvuna tarehe ( {hd_date} ){SPACE}
sp_no_change,We do not recommend any changes,Hatupendekezi mabadiliko yoyote.
sp_direction_decrease,{SPACE}a decrease,{SPACE}kupungua{SPACE}
sp_direction_increase,{SPACE}an increase,ongezeko
conj_but,{SPACE}but{SPACE},{SPACE}lakini{SPACE}
conj_and,{SPACE}and{SPACE},{SPACE}na{SPACE}
pp_practice_optimal,Your current practice is optimal. Continue to practice {plo_method} ploughing and {ridg_method} ridging. Changes in tillage practices will result in a decrease in net revenue.,Mbinu zako za kilimo za sasa ni nzuri. Endelea kufanya hivyo {plo_method} kutifua udongo na {ridg_method} kuweka matuta. Mabadiliko ya mbinu za kilimo yatapelekea kupungua kwa kipato cha jumla.
word_no,no,hakuna
fr_apply_prefix,We recommend applying,Tunapendekeza
pp_zero_tillage,We recommend zero-tillage: do not plough and do not ridge. Plant on flat surface.,Tunapendekeza kutokatua kabisa shamba: Usilime na usiweke matuta. Panda kwenye sehemu tambarare.
suffix_field_area,{SPACE}for the area of your field.,{SPACE}kwa eneo lako.
cost_amount,This will cost {currency} {amount}.,Hii itakugharimu {currency} {amount}.
closing_thanks,. Thank you for using our services!,. Asante kwa kutumia huduma zetu!
sp_planting_optimal,"Your revenue will be highest at your proposed planting date, on {date}.",Mapato yako yatakuwa makubwa zaidi ukipanda tarehe {date}.
sp_harvest_optimal,"Your selected harvest date is optimal, harvest your cassava on {date}.","Tarehe uliyochagua ya kuvuna ni bora, vuna mihogo yako tarehe {date}."
ic_not_recommended,Intercropping is not recommended. Growing a cassava monocrop will give you a higher profit.,Kilimo mchanganyiko haipendekezwi. Kupanda muhogo peke yake utakupatia faida ya juu.
ic_use_fr_tool,"If you consider investing in fertilizer, please use our Fertilizer Recommendations Tool to obtain fertilizer advice for a cassava monocrop.","Kama ungependa kuwekeza katika mbolea, tafadhali tumia chombo chetu cha mapandekezo ya mbolea ili kupata ushauri wa kupanda muhogo bila mseto."
ic_recommended,"We recommend intercropping cassava with sweet potato. This will generate a higher profit overall, and also give you access to early income from sweet potato.",Tunapendekeza kuchanganya muhogo na viazi vitamu (kilimo mseto). Hii itakupatia faida ya juu na mapato ya haraka kutoka kwenye viazi vitamu.
ic_sp_fert_unavailable,Fertilizer use is not recommended because appropriate fertilizer is not available.,Haishauriwi kutumia mbolea kwa sababu Mbolea sahihi haipatikani.
ic_sp_fert_not_profitable,Fertilizer use is not recommended because fertilizer use is not sufficiently profitable.,Haishauriwi kutumia mbolea kwa sababu itakuongezea gharama hatimae utapata hasara.
ic_sp_fert_apply_prefix,We recommend applying,Tunapendekeza utumie
ic_sp_fert_field_area,for the area of your field.,katika eneo la shamba lako.
ic_sp_cost_amount,This will cost {currency} {amount}.,Hii itagharimu {currency} {amount}.
method_tractor,tractor,kwa trekta
method_manual,manual,kwa jembe la mkono
sp_rec_yield_only,{SPACE}We expect{direction} in total root production by {amount} tonnes but no change in total value. You can {action},{SPACE}Tunatarajia {direction} kwa jumla ya mavuno ya mhogo mbichi kwa tani {amount} lakini hakuna mabadiliko ya thamani. Unaweza {action}
sp_rec_full,{SPACE}We expect{direction} in total root production by {amount} tonnes{conj}a value increase of {currency} {value}.,{SPACE}Tunatarajia {direction} kwa jumla ya mavuno ya mhogo mbichi kwa tani {amount}{conj} ongezeko la thamani la {currency} {value}.
fr_impact,"{SPACE}We expect an extra production of {dy} tonnes of fresh storage roots, and a net value increase of {currency} {nr}.","{SPACE}Tunategemea mavuno ya ziada ya tani {dy} za muhogo mbichi, na ongezeko la jumla ya {currency} {nr}."
ic_sp_net_value,We expect a net value increase of {currency} {amount} for the area of your field.,Tunatarajia jumla ya ongezeko la thamani kwa {currency} {amount} katika eneo la shamba lako.
ic_maize_fert_unavailable,Fertilizer use is not recommended because appropriate fertilizer is not available.,Matumizi ya mbolea hayapendekezwi kwa sababu mbolea inayofaa haipatikani.
ic_maize_fert_not_profitable,Fertilizer use is not recommended because fertilizer use is not sufficiently profitable.,Matumizi ya mbolea hayapendekezwi kwa sababu hayaleti faida ya kutosha.
ic_soil_poor_advice,"Your soil is very poor. You need to improve soil fertility before considering investing in fertilizer. You should apply compost or manure, or fallow for at least 2 years. Plant maize at low density (20,000 plants per hectare) and sow the seeds at 50 cm within rows.","Udongo wako una rutuba duni sana. Unahitaji kuboresha rutuba ya udongo kabla ya kuwekeza katika mbolea. Tumia mboji au samadi, au acha shamba lifukie kwa angalau miaka 2. Panda mahindi kwa msongamano mdogo (mimea 20,000 kwa hekta) na panda mbegu kwa umbali wa sentimita 50 ndani ya safu."
ic_soil_fertile_advice,"Your soil is very fertile. It is likely that your maize yield will not improve much after fertilizer application. Plant maize at high density (40,000 plants per hectare) and sow the seeds at 25 cm within rows.","Udongo wako una rutuba nyingi sana. Mavuno yako ya mahindi hayataboreka sana baada ya kutumia mbolea. Panda mahindi kwa msongamano mkubwa (mimea 40,000 kwa hekta) na panda mbegu kwa umbali wa sentimita 25 ndani ya safu."
ic_maize_grain_impact,"We expect an extra production of {amount} kg of maize for the area of your field, and a net value increase of {currency} {value}.","Tunatarajia mavuno ya ziada ya kilo {amount} za mahindi kwa eneo la shamba lako, na ongezeko la thamani la {currency} {value}."
ic_maize_cobs_impact,"We expect an extra production of {amount} cobs for the area of your field, and a net value increase of {currency} {value}.","Tunatarajia mavuno ya ziada ya mabibo {amount} kwa eneo la shamba lako, na ongezeko la thamani la {currency} {value}."
ic_density_high,"Plant your maize intercrop at high density: 1 m between rows and 25 cm within row (40,000 plants per hectare).","Panda mahindi yako ya mseto kwa msongamano mkubwa: safu 1 m na umbali wa sentimita 25 ndani ya safu (mimea 40,000 kwa hekta)."
ic_density_low,"Plant your maize intercrop at low density: 1 m between rows and 50 cm within row (20,000 plants per hectare).","Panda mahindi yako ya mseto kwa msongamano mdogo: safu 1 m na umbali wa sentimita 50 ndani ya safu (mimea 20,000 kwa hekta)."
sp_harvest_date_error,Harvest date should be at least 1 month after planting date.,Tarehe ya kuvuna inapaswa kuwa angalau mwezi 1 baada ya tarehe ya kupanda.
fert_rate_line,{rate} kg of {fertilizer},Kilo {rate} za {fertilizer}
pp_rec_plough_ridge,We recommend {plo_method} ploughing followed by {ridg_method} ridging.,Tunapendekeza kutifua udongo {plo_method} kufuatiwe na {ridg_method} kuweka matuta.
pp_rec_plough_only,"We recommend {plo_method} ploughing, but no ridging. Plant on flat.","Tunapendekeza kutifua udongo {plo_method}, bila matuta. Panda kwenye sehemu iliyo tambarare."
pp_rec_ridge_only,"We recommend no ploughing, but to directly perform {ridg_method} ridging.","Tunapendekeza usilime, lakini moja kwa moja {ridg_method} kuweka matuta."
pp_cost_no_change,This will not change cost in comparison with your current practice. Root production and net revenue will not change in comparison with your current practice.,Hii haitapunguza gharama ikilinganishwa na kanuni/mbinu zako za sasa za kilimo. Mavuno ya muhogo mbichi na jumla ya kipato havitabadilika ikilinganishwa na kanuni/mbinu zako za sasa za kilimo.
pp_cost_change,This will {direction} cost by {amount}. Root production and net revenue will not change in comparison with your current practice.,Hii ita{direction} gharama kwa {amount}. Mavuno ya muhogo mbichi na jumla ya kipato havitabadilika ikilinganishwa na kanuni/mbinu zako za sasa za kilimo.
